name,country,howstatid,iccid,role,rank,icc_role,rating,format
Shoriful Islam,BAN,5958,-1,bowler,-1,-1,-1
Taijul Islam,BAN,4324,1904,bowler,-1,-1,-1
Tamim Iqbal,BAN,3461,287,batsman,-1,-1,-1
Taskin Ahmed,BAN,4299,1839,batsman,-1,-1,-1
Yasir Ali,BAN,6456,-1,batsman,-1,-1,-1
Zakir Hasan,BAN,2953,-1,batsman,-1,-1,-1
Afif Hossain,BAN,4734,-1,allrounder,-1,-1,-1
Anamul Haque,BAN,3979,-1,batsman,-1,-1,-1
Hasan Mahmud,BAN,5842,-1,bowler,-1,-1,-1
Mahedi Hasan,BAN,4737,-1,bowler,-1,-1,-1
Mahmudullah,BAN,3488,492,allrounder,-1,-1,-1
Mohammad Naim,BAN,3488,-1,allrounder,-1,-1,-1
Mrittunjoy Chowdhury,BAN,7273,-1,bowler,-1,-1,-1
Mustafizur Rahman,BAN,4414,1594,bowler,-1,-1,-1
Nasum Ahmed,BAN,5957,-1,bowler,-1,-1,-1
Rony Talukdar,BAN,4448,-1,batsman,-1,-1,-1
Shamim Hossain,BAN,6048,-1,allrounder,-1,-1,-1
Soumya Sarkar,BAN,4362,-1,batsman,-1,-1,-1
Tanzid Hasan,BAN,7451,-1,batsman,-1,-1,-1
Tanzim Hasan Sakib,BAN,7454,-1,bowler,-1,-1,-1
Towhid Hridoy,BAN,7162,-1,batsman,-1,-1,-1
Hasan Murad,BAN,7562,-1,bowler,-1,-1,-1
Jaker Ali,BAN,7544,-1,batsman,-1,-1,-1
Ripon Mondol,BAN,7545,,bowler,-1,-1,-1
Mosaddek Hossain,BAN,4516,-1,bowler,-1,-1,-1
Parvez Hossain Emon,BAN,6840,-1,batsman,-1,-1,-1
Rakibul Hasan,BAN,7546,201,bowler,-1,-1,-1
Rishad Hossain,BAN,7198,-1,bowler,-1,-1,-1
Saif Hassan,BAN,5773,-1,batsman,-1,-1,-1
Shahadat Hossain,BAN,7547,-1,bowler,-1,-1,-1
Sumon Khan,BAN,7548,-1,bowler,-1,-1,-1
Tanvir Islam,BAN,7182,-1,bowler,-1,-1,-1
Moeen Ali,ENG,4271,1735,allrounder,-1,-1,-1
James Anderson,ENG,3065,,bowler,-1,-1,-1
Jonny Bairstow,ENG,3900,506,batsman,-1,-1,-1
Stuart Broad,ENG,3434,192,bowler,-1,-1,-1
Harry Brook,ENG,6470,,batsman,-1,-1,-1
Zak Crawley,ENG,5736,-1,batsman,-1,-1,-1
Ben Duckett,ENG,4596,1542,batsman,-1,-1,-1
Ben Foakes,ENG,4832,,batsman,-1,-1,-1
Will Jacks,ENG,6922,-1,allrounder,-1,-1,-1
Jack Leach,ENG,4744,3363,bowler,-1,-1,-1
Liam Livingstone,ENG,4692,3644,bowler,-1,-1,-1
Ollie Pope,ENG,4814,,batsman,-1,-1,-1
Matthew Potts,ENG,6622,-1,bowler,-1,-1,-1
Rehan Ahmed,ENG,7109,-1,allrounder,-1,-1,-1
Ollie Robinson,ENG,6010,4434,bowler,-1,-1,-1
Joe Root,ENG,3981,887,allrounder,-1,-1,-1
Ben Stokes,ENG,3883,1154,allrounder,-1,-1,-1
Josh Tongue,ENG,7298,-1,bowler,-1,-1,-1
Chris Woakes,ENG,3846,967,bowler,-1,-1,-1
Mark Wood,ENG,4421,2749,bowler,-1,-1,-1
Jofra Archer,ENG,4777,3502,bowler,-1,-1,-1
Gus Atkinson,ENG,7452,,bowler,-1,-1,-1
Sam Billings,ENG,4428,-1,batsman,-1,-1,-1
Jos Buttler,ENG,3888,509,batsman,-1,-1,-1
Brydon Carse,ENG,6036,,allrounder,-1,-1,-1
