name,country,howstatid,iccid,role
Murray Commins,IRE,7122,,batsman
George Dockrell,IRE,3752,,allrounder
Fionn Hand,IRE,6850,,allrounder
Graham Hume,IRE,6783,,bowler
Matthew Humphreys,IRE,7189,,Bowler
Andy McBrine,IRE,4294,,allrounder
James McCollum,IRE,4926,,batsman
Peter Moor,IRE,4359,,batsman
Paul Stirling,IRE,3586,,allrounder
Harry Tector,IRE,5476,,batsman
Lorcan Tucker,IRE,4586,,batsman
Ben White,IRE,6049,,Bowler
Gareth Delany,IRE,5298,,allrounder
Stephen Doheny,IRE,7120,,batsman
Josh Little,IRE,4584,,Bowler
Barry McCarthy,IRE,4563,,Bowler
Theo van Woerkom,IRE,7487,,allrounder
Craig Young,IRE,4328,,Bowler
Ross Adair,IRE,7119,,batsman
Tyrone Kane,IRE,4433,,Allrounder
Neil Rock,IRE,6148,,batsman
Finn Allen,NZ,5956,,batsman
Tom Blundell,NZ,4624,,batsman
Trent Boult,NZ,3924,,Bowler
Chad Bowes,NZ,7194,,batsman
Michael Bracewell,NZ,3934,1279,batsman
Mark Chapman,NZ,4278,,batsman
Devon Conway,NZ,5924,4650,batsman
Jacob Duffy,NZ,5930,,Bowler
Lockie Ferguson,NZ,4609,,Bowler
Dean Foxcroft,NZ,7443,-1,Allrounder
Matt Henry,NZ,4257,1505,bowler
Kyle Jamieson,NZ,5774,1616,bowler
Tom Latham,NZ,3932,1140,bowler
Ben Lister,NZ,7123,,bowler
Cole McConchie,NZ,6149,,Allrounder
Adam Milne,NZ,3839,434,bowler
Daryl Mitchell,NZ,4720,3642,Allrounder
James Neesham,NZ,3986,,Allrounder
Henry Nicholls,NZ,4509,2890,batsman
Glenn Phillips,NZ,4647,3027,batsman
Rachin Ravindra,NZ,6150,-1,bowler
Mitchell Santner,NZ,4429,1903,bowler
Henry Shipley,NZ,7116,,bowler
Ish Sodhi,NZ,4243,1304,bowler
Tim Southee,NZ,3542,307,allrounder
Blair Tickner,NZ,4851,4598,bowler
Kane Williamson,NZ,3817,440,allrounder
Will Young,NZ,5927,4596,batsman
Adithya Ashok,NZ,7442,-1,bowler
Dane Cleaver,NZ,6795,-1,batsman
Tim Seifert,NZ,4732,1619,batsman
Abdullah Shafique,PAK,5921,-1,batsman
Abrar Ahmed,PAK,7092,-1,bowler
Agha Salman,PAK,6790,-1,allrounder
Azhar Ali (Lahore),PAK,3816,-1,batsman
Babar Azam,PAK,4425,-1,batsman
Faheem Ashraf,PAK,4690,4208,allrounder
Haris Rauf,PAK,5771,-1,allrounder
Hasan Ali,PAK,4579,-1,bowler
Imam-ul-Haq,PAK,4706,1568,batsman
Mir Hamza,PAK,4820,-1,bowler
Mohammad Ali,PAK,7054,3195,batsman
Mohammad Nawaz,PAK,4536,3195,batsman
Mohammad Rizwan,PAK,4412,-1,batsman
Mohammad Wasim,PAK,6058,2760,bowler
Naseem Shah,PAK,5727,-1,bowler
Noman Ali,PAK,5941,-1,bowler
Sarfaraz Ahmed,PAK,3513,-1,bowler
Saud Shakeel,PAK,6039,-1,batsman
Shaheen Shah Afridi,PAK,4798,-1,bowler
Shan Masood,PAK,1101,1305,bowler
Zahid Mahmood,PAK,2113,19581,bowler
Fakhar Zaman,PAK,4654,-1,batsman
Haris Sohail,PAK,4225,-1,batsman
Iftikhar Ahmed,PAK,4488,2888,batsman
Ihsanullah,PAK,7190,-1,bowler
Kamran Ghulam,PAK,7121,-1,allrounder
Mohammad Haris,PAK,6630,-1,batsman
Mohammad Hasnain,PAK,4991,-1,bowler
Shadab Khan,PAK,4653,3046,allrounder
Usama Mir,PAK,7117,-1,bowler
Zaman Khan,PAK,7193,-1,bowler
Aamer Jamal,PAK,1068,-1,batsman
Arafat Minhas,PAK,7531,-1,bowler
Arshad Iqbal,PAK,5993,-1,bowler
Asif Ali,PAK,4747,-1,batsman
Azam Khan,PAK,2070,-1,batsman
Haider Ali,PAK,5845,-1,batsman
Imad Wasim,PAK,4423,2760,bowler
Khushdil Shah,PAK,5663,-1,batsman
Mirza Baig,PAK,7532,,batsman
Mubasir Khan,PAK,7563,-1,allrounder
Omair Yousuf,PAK,7533,,batsman
Qasim Akram,PAK,7534,-1,allrounder
Rohail Nazir,PAK,7535,-1,batsman
Saim Ayub,PAK,7191,-1,batsman
Sufiyan Muqeem,PAK,7536,-1,bowler
Tayyab Tahir,PAK,7192,-1,batsman
Usman Qadir,PAK,5920,-1,bowler
Temba Bavuma,SA,4370,833,batsman
Gerald Coetzee,SA,7155,-1,bowler
Theunis de Bruyn,SA,4634,,batsman
Tony de Zorzi,SA,7156,-1,batsman
Dean Elgar,SA,3968,-1,allrounder
Sarel Erwee,SA,6476,,batsman
Simon Harmer,SA,4372,1922,bowler
Marco Jansen,SA,5974,17068,bowler
Heinrich Klaasen,SA,4731,3869,batsman
Keshav Maharaj,SA,4601,1894,allrounder
Aiden Markram,SA,4701,1667,batsman
Wiaan Mulder,SA,4707,,allrounder
Senuran Muthusamy,SA,5497,-1,allrounder
Lungi Ngidi,SA,4636,3746,bowler
Anrich Nortje,SA,4929,5433,bowler
Keegan Petersen,SA,6014,,batsman
Kagiso Rabada,SA,4339,1664,bowler
Ryan Rickelton,SA,6552,,batsman
Rassie van der Dussen,SA,4817,1277,batsman
Kyle Verreynne,SA,5829,-1,batsman
Khaya Zondo,SA,4730,,batsman
Quinton de Kock,SA,3988,834,batsman
Bjorn Fortuin,SA,5479,,bowler
Reeza Hendricks,SA,4340,1915,bowler
Sisanda Magala,SA,5985,,bowler
David Miller,SA,3783,187,batsman
Wayne Parnell,SA,3642,223,bowler
Andile Phehlukwayo,SA,4588,,allrounder
Tabraiz Shamsi,SA,4562,3309,bowler
Tristan Stubbs,SA,6607,-1,batsman
Lizaad Williams,SA,5984,,bowler
Matthew Breetzke,SA,7453,,batsman
Dewald Brevis,SA,6517,-1,allrounder
Donovan Ferreira,SA,7214,-1,allrounder
Rilee Rossouw,SA,4321,239,batsman
Dinesh Chandimal,SL,3779,-1,batsman
Dhananjaya de Silva,SL,4472,1295,allrounder
Niroshan Dickwella,SL,4316,-1,batsman
Asitha Fernando,SL,4697,-1,batsman
Oshada Fernando,SL,4852,-1,batsman
Nishan Madushka,SL,7187,19469,bowler
Vishwa Fernando,SL,4574,-1,bowler
Prabath Jayasuriya,SL,4805,5268,bowler
Dimuth Karunaratne,SL,3871,,batsman
Lahiru Kumara,SL,4599,3085,bowler
Dilshan Madushanka,SL,6859,19469,bowler
Angelo Mathews,SL,3628,217,allrounder
Kusal Mendis,SL,4485,1670,batsman
Ramesh Mendis,SL,5937,19998,batsman
Kasun Rajitha,SL,3034,3154,bowler
Sadeera Samarawickrama,SL,4704,,batsman
Sahan Arachchige,SL,4950,-1,allrounder
Charith Asalanka,SL,6032,,allrounder
Ashen Bandara,SL,5950,-1,batsman
Dushmantha Chameera,SL,4380,,bowler
Wanindu Hasaranga,SL,4696,,bowler
Nuwanidu Fernando,SL,7118,,batsman
Avishka Fernando,SL,4581,-1,batsman
Dushan Hemantha,SL,7299,,allrounder
Chamika Karunaratne,SL,4847,-1,batsman
Dhananjaya Lakshan,SL,6033,-1,allrounder
Pathum Nissanka,SL,5951,17077,batsman
Matheesha Pathirana,SL,6613,,Bowler
Kusal Perera,SL,3994,1738,batsman
Pramod Madushan,SL,6666,-1,bowler
Dasun Shanaka,SL,4476,2876,allrounder
Maheesh Theekshana,SL,6613,20707,bowler
Jeffrey Vandersay,SL,4474,,Bowler
Dunith Wellalage,SL,6655,100031,bowler
Lasith Croospulle,SL,7537,,batsman
Shevon Daniel,SL,7541,-1,batsman
Ravindu Fernando,SL,7540,-1,allrounder
Lahiru Udara,SL,7542,3085,bowler
Bhanuka Rajapaksa,SL,5509,877,batsman
Lahiru Samarakoon,SL,7542,3085,bowler
Nuwan Thushara,SL,6475,-1,bowler
Nimesh Vimukthi,SL,7539,-1,allrounder
Vijayakanth Viyaskanth,SL,7543,-1,bowler
Alick Athanaze,WI,7307,-1,allrounder
Jermaine Blackwood,WI,4312,-1,batsman
Nkrumah Bonner,WI,3902,,batsman
Kraigg Brathwaite,WI,3863,1460,allrounder
Shamarh Brooks,WI,5393,,batsman
Tagenarine Chanderpaul,WI,7053,-1,batsman
Roston Chase,WI,4570,3321,batsman
Rahkeem Cornwall,WI,5401,3858,allrounder
Joshua Da Silva,WI,5929,-1,batsman
Shannon Gabriel,WI,3952,871,bowler
Jason Holder,WI,3998,1075,allrounder
Alzarri Joseph,WI,4575,3098,bowler
Kyle Mayers,WI,5925,1902,bowler
Kirk McKenzie,WI,7376,,batsman
Marquino Mindley,WI,7091,,Bowler
Gudakesh Motie,WI,6459,-1,bowler
Anderson Phillip,WI,5954,-1,bowler
Raymon Reifer,WI,4716,,Allrounder
Kemar Roach,WI,3611,410,bowler
Jayden Seales,WI,6013,19107,bowler
Devon Thomas,WI,3718,,batsman
Jomel Warrican,WI,4486,2879,bowler
Akeem Jordan,WI,7302,,Bowler
Yannic Cariah,WI,6854,-1,Bowler
Keacy Carty,WI,6619,,Allrounder
Johnson Charles,WI,3903,,batsman
Dominic Drakes,WI,6458,,Allrounder
Shimron Hetmyer,WI,4681,1705,batsman
Kavem Hodge,WI,7301,-1,Allrounder
Shai Hope,WI,4417,2751,batsman
Akeal Hosein,WI,5935,20593,bowler
Brandon King,WI,3800,1708,batsman
Keemo Paul,WI,4742,,Allrounder
Nicholas Pooran,WI,4587,1703,batsman
Rovman Powell,WI,3022,3333,bowler
Romario Shepherd,WI,5662,-1,bowler
Kevin Sinclair,WI,5952,-1,bowler
Odean Smith,WI,4748,3103,bowler
Sheldon Cottrell,WI,4249,1309,bowler
Obed McCoy,WI,4825,3100,bowler
