name,country,howstatid,iccid,role
Aiden Markram,SA,,,
Wiaan Mulder,SA,,,
Senuran Muthusamy,SA,,,
Lungi Ngidi,SA,,,
Anrich Nortje,SA,,,
Keegan Petersen,SA,,,
Kagiso Rabada,SA,,,
Ryan Rickelton,SA,,,
Rassie van der Dussen,SA,,,
Kyle Verreynne,SA,,,
Khaya Zondo,SA,,,
Quinton de Kock,SA,,,
Bjorn Fortuin,SA,,,
Reeza Hendricks,SA,,,
Sisanda Magala,SA,,,
David Miller,SA,,,
Wayne Parnell,SA,,,
Andile Phehlukwayo,SA,,,
Tabraiz Shamsi,SA,,,
Tristan Stubbs,SA,,,
Lizaad Williams,SA,,,
Matthew Breetzke,SA,,,
Dewald Brevis,SA,,,
Donovan Ferreira,SA,,,
Rilee Rossouw,SA,,,
Dinesh Chandimal,SL,,,
Dhananjaya de Silva,SL,,,
Niroshan Dickwella,SL,,,
Asitha Fernando,SL,,,
Oshada Fernando,SL,,,
Nishan Madushka,SL,,,
Vishwa Fernando,SL,,,
Prabath Jayasuriya,SL,,,
Dimuth Karunaratne,SL,,,
Lahiru Kumara,SL,,,
Dilshan Madushanka,SL,,,
Angelo Mathews,SL,,,
Kusal Mendis,SL,,,
Ramesh Mendis,SL,,,
Kasun Rajitha,SL,,,
Sadeera Samarawickrama,SL,,,
Sahan Arachchige,SL,,,
Charith Asalanka,SL,,,
Ashen Bandara,SL,,,
Dushmantha Chameera,SL,,,
Wanindu Hasaranga,SL,,,
Nuwanidu Fernando,SL,,,
Avishka Fernando,SL,,,
Dushan Hemantha,SL,,,
Chamika Karunaratne,SL,,,
Dhananjaya Lakshan,SL,,,
Pathum Nissanka,SL,,,
Matheesha Pathirana,SL,,,
Kusal Perera,SL,,,
Pramod Madushan,SL,,,
Dasun Shanaka,SL,,,
Maheesh Theekshana,SL,,,
Jeffrey Vandersay,SL,,,
Dunith Wellalage,SL,,,
Lasith Croospulle,SL,,,
Shevon Daniel,SL,,,
Ravindu Fernando,SL,,,
Lahiru Udara,SL,,,
Bhanuka Rajapaksa,SL,,,
Lahiru Samarakoon,SL,,,
Nuwan Thushara,SL,,,
Nimesh Vimukthi,SL,,,
Vijayakanth Viyaskanth,SL,,,
Alick Athanaze,WI,,,
Jermaine Blackwood,WI,,,
Nkrumah Bonner,WI,,,
Kraigg Brathwaite,WI,,,
Shamarh Brooks,WI,,,
Tagenarine Chanderpaul,WI,,,
Roston Chase,WI,,,
Rahkeem Cornwall,WI,,,
Joshua Da Silva,WI,,,
Shannon Gabriel,WI,,,
Jason Holder,WI,,,
Alzarri Joseph,WI,,,
Kyle Mayers,WI,,,
